Method,4/4 Exact Agreement,4/4 Macro F1,4/4 Weighted F1,4/4 Six-State Macro Recall,4/4 Cohen's Kappa,4/4 MCC,3/4 Exact Agreement,3/4 Macro F1,3/4 Weighted F1,3/4 Six-State Macro Recall,3/4 Cohen's Kappa,3/4 MCC,SC,CASC
MRHex v1.0.0,0.92671,0.45225,0.94094,0.53987,0.65052,0.67398,0.68376,0.34068,0.68025,0.37879,0.50201,0.53485,0.90139,0.91674
NegEx,0.80808,0.19281,0.82441,0.30987,0.17747,0.19534,0.53846,0.19690,0.49134,0.25887,0.24613,0.28200,0.80523,0.81858
ConText / pyConTextNLP,0.80582,0.23142,0.83262,0.34899,0.21326,0.23776,0.57692,0.27978,0.57764,0.30937,0.34350,0.39319,0.80257,0.81554
medspaCy,0.79940,0.21029,0.82759,0.31814,0.20132,0.22633,0.55128,0.23636,0.53064,0.27902,0.28615,0.32711,0.79490,0.80786
