method,4of4_n,4of4_exact_agreement,4of4_exact_agreement_ci_low,4of4_exact_agreement_ci_high,4of4_macro_f1,4of4_weighted_f1,4of4_six_state_macro_recall,4of4_kappa,4of4_mcc,exact3of4_n,exact3of4_exact_agreement,exact3of4_exact_agreement_ci_low,exact3of4_exact_agreement_ci_high,exact3of4_macro_f1,exact3of4_weighted_f1,exact3of4_six_state_macro_recall,exact3of4_kappa,exact3of4_mcc,all_cases_n,semantic_concordance_SC,CASC
MRHex v1.0.0,2647,0.92671,0.91615,0.93603,0.45225,0.94094,0.53987,0.65052,0.67398,234,0.68376,0.62162,0.73996,0.34068,0.68025,0.37879,0.50201,0.53485,2978,0.90139,0.91674
NegEx,2647,0.80808,0.79264,0.82264,0.19281,0.82441,0.30987,0.17747,0.19534,234,0.53846,0.47448,0.60120,0.19690,0.49134,0.25887,0.24613,0.28200,2978,0.80523,0.81858
ConText / pyConTextNLP,2647,0.80582,0.79031,0.82044,0.23142,0.83262,0.34899,0.21326,0.23776,234,0.57692,0.51288,0.63848,0.27978,0.57764,0.30937,0.34350,0.39319,2978,0.80257,0.81554
medspaCy,2647,0.79940,0.78371,0.81421,0.21029,0.82759,0.31814,0.20132,0.22633,234,0.55128,0.48724,0.61367,0.23636,0.53064,0.27902,0.28615,0.32711,2978,0.79490,0.80786
